CÓDIGO OACI;CIAD;NOME;MUNICÍPIO;UF;MUNICÍPIO SERVIDO;UF SERVIDO;LatGeoPoint;LonGeoPoint;LATITUDE;LONGITUDE;ALTITUDE;OPERAÇÃO DIURNA;OPERAÇÃO NOTURNA;DESIGNAÇÃO 1;COMPRIMENTO 1;LARGURA 1;RESISTÊNCIA 1;SUPERFÍCIE 1;DESIGNAÇÃO 2;COMPRIMENTO2;LARGURA 2;RESISTÊNCIA 2;SUPERFÍCIE 2;SITUAÇÃO;ValidadedoRegistro;PortariadeRegistro;Link Portaria
SBRB;AC0001;Plácido de Castro;RIO BRANCO;Acre;Rio Branco;Acre;-9.8683333;-67.898056;"09°52'06.0S""";"067°53'53.0W""";193;VFR / IFR - CAT I;VFR / IFR - CAT I;jun/24;21,580,000;45,00;78/F/D/X/T;Asfalto;;;;;;Cadastrado;23/08/2028;PA2018-2577;https://pergamum.anac.gov.br/arquivos/PA2018-2577.pdf
SNGA;ES0007;Guarapari;GUARAPARI;Espírito Santo;Guarapari;Espírito Santo;-20.646389;-40.491667;"20°38'47.0S""";"040°29'30.0W""";9;VFR;VFR;jun/24;9,400,000;30,00;13/F/C/X/T;Asfalto;;;;;;Cadastrado;06/11/2027;PA2017-3632;https://pergamum.anac.gov.br/arquivos/PA2017-3632.pdf
SBIZ;MA0002;Prefeito Renato Moreira;IMPERATRIZ;Maranhão;Imperatriz;Maranhão;-5.5305556;-47.458333;"05°31'50.0S""";"047°27'30.0W""";131;VFR / IFR Não Precisão;VFR / IFR Não Precisão;jul/25;17,980,000;45,00;50/F/A/X/T;Asfalto;;;;;;Cadastrado;24/07/2028;PA2018-2252;https://pergamum.anac.gov.br/arquivos/PA2018-2252.pdf
SBPC;MG0018;Embaixador Walther Moreira Salles;POÇOS DE CALDAS;Minas Gerais;Poços de Caldas;Minas Gerais;-21.837778;-46.566111;"21°50'16.0S""";"046°33'58.0W""";1261;VFR / IFR Não Precisão;Sem Operação;set/27;15,150,000;30,00;14/F/C/Y/U;Asfalto;;;;;;Cadastrado;20/02/2029;PA2019-0534;https://pergamum.anac.gov.br/arquivos/PA2019-0534.pdf
SSCD;MS0007;Chapadão do Sul;CHAPADÃO DO SUL;Mato Grosso do Sul;Chapadão do Sul;Mato Grosso do Sul;-18.839167;-52.488056;"18°50'21.0S""";"052°29'17.0W""";817;VFR;VFR;mai/23;20,000,000;30,00;30/F/C/X/T;Asfalto;;;;;;Cadastrado;01/10/2028;PA2018-2968;https://pergamum.anac.gov.br/arquivos/PA2018-2968.pdf
SBBE;PA0001;Aeroporto Internacional de Bélem;BELÉM;Pará;Belém;Pará;-1.3847222;-48.478889;"01°23'05.0S""";"048°28'44.0W""";17;;;fev/20;18,300,000;45,00;50/F/A/X/T;Asfalto;jun/24;28,000,000;45,00;65/F/A/X/T;Asfalto;Cadastrado;25/07/2026;PA2016-1883;https://pergamum.anac.gov.br/arquivos/PA2016-1883.pdf
SBJP;PB0001;Internacional Presidente Castro Pinto;BAYEUX;Paraíba;João Pessoa;Paraíba;-7.1483333;-34.950278;"07°08'54.0S""";"034°57'01.0W""";66;VFR / IFR Não Precisão;VFR / IFR Não Precisão;16/34;25,150,000;45,00;52/F/B/X/T;Asfalto;;;;;;Cadastrado;22/05/2025;PA2015-1203;https://pergamum.anac.gov.br/arquivos/PA2015-1203.pdf
SBKG;PB0003;Presidente João Suassuna;CAMPINA GRANDE;Paraíba;Campina Grande;Paraíba;-7.2691667;-35.895;"07°16'09.0S""";"035°53'42.0W""";502;VFR / IFR Não Precisão;VFR / IFR Não Precisão;15/33;16,000,000;42,00;50/F/A/X/T;Asfalto;;;;;;Cadastrado;15/03/2026;PA2016-0575;https://pergamum.anac.gov.br/arquivos/PA2016-0575.pdf
SBMG;PR0004;Silvio Name Júnior;MARINGÁ;Paraná;Maringá;Paraná;-23.479444;-52.012222;"23°28'46.0S""";"052°00'44.0W""";549;;;out/28;23,800,000;45,00;45/F/A/X/T;Asfalto;;;;;;Cadastrado;;;
SBCA;PR0005;Coronel Adalberto Mendes da Silva;CASCAVEL;Paraná;Cascavel;Paraná;-25.002222;-53.501944;"25°00'08.0S""";"053°30'07.0W""";759;VFR / IFR Não Precisão;VFR / IFR Não Precisão;15/33;16,150,000;30,00;48/F/B/X/T;Asfalto;;;;;;Cadastrado;20/11/2025;PA2015-3092;https://pergamum.anac.gov.br/arquivos/PA2015-3092.pdf
